ph,lat_centroide,lon_centroide,direccion_nueva,direccion_anterior,distancia_m,sec,mza,graf
13890,-32.93298678499464,-60.64977389453375,Güemes 2146,Güemes 2146,31.6,1.0,2.0,19.0
2804,-32.93447435295867,-60.648518335584725,Almirante Brown 2020,Mariano Moreno 2 bis,31.8,1.0,6.0,14.0
16319,-32.935081466367535,-60.64606975480786,Almirante Brown 1844,Almirante Brown 1854,32.3,1.0,8.0,8.0
16415,-32.93511435706101,-60.64589642348847,Italia,Almirante Brown 1854,43.8,1.0,8.0,8.0
16547,-32.935216750842415,-60.64570006215631,Italia,Almirante Brown 1854,66.8,1.0,8.0,8.0
16721,-32.93508485962693,-60.64566754378753,Italia,Almirante Brown 1854,60.6,1.0,8.0,8.0
5529,-32.935289516952835,-60.64935964033536,Almirante Brown,Almirante Brown,47.4,1.0,11.0,13.0
7473,-32.93580656990524,-60.64721164370778,Manuel Dorrego 62,Jujuy 1926,34.9,1.0,12.0,17.0
8091,-32.93557631305422,-60.64747591980071,Manuel Dorrego 48,Manuel Dorrego 46,32.5,1.0,12.0,15.0
6988,-32.93650453664288,-60.650681068220976,Salta 2148,Balcarce,37.1,1.0,19.0,14.0
897,-32.93738925437203,-60.64681080006861,Salta 1862,Italia,37.4,1.0,22.0,22.0
9093,-32.936996383922725,-60.64650793326632,Italia,Jujuy 1841,46.0,1.0,22.0,5.0
7086,-32.93833049999999,-60.6418065,Salta 1498,Paraguay,43.0,1.0,26.0,17.0
939,-32.9383465,-60.6417155,Salta,Paraguay,34.4,1.0,26.0,17.0
14587,-32.93842566993364,-60.63822484575193,Avenida Arturo Illia,Avenida Arturo Illia,55.3,1.0,28.0,1.0
14054,-32.937212,-60.651297,Bulevar Nicasio Oroño,Bulevar Nicasio Oroño,47.1,1.0,30.0,26.0
3499,-32.93711607616127,-60.65127306162668,Bulevar Nicasio Oroño 221,Bulevar Nicasio Oroño,57.6,1.0,30.0,26.0
1024,-32.9383515,-60.6481915,Catamarca 1930,Manuel Dorrego,76.7,1.0,32.0,14.0
12356,-32.93825390786168,-60.64873522714589,Catamarca 1988,Manuel Dorrego,114.2,1.0,32.0,14.0
1414,-32.93840023991451,-60.64787318933118,Manuel Dorrego,Manuel Dorrego,71.1,1.0,32.0,14.0
1428,-32.93812870630932,-60.64823003629257,Catamarca 1938,Manuel Dorrego,60.0,1.0,32.0,14.0
1609,-32.93791376876779,-60.64872357025955,Mariano Moreno 257,Manuel Dorrego,100.4,1.0,32.0,14.0
16350,-32.9383187404577,-60.648372730115895,Catamarca 1950,Manuel Dorrego,86.2,1.0,32.0,14.0
1706,-32.93809629332272,-60.648411463088806,Catamarca 1958,Manuel Dorrego,74.2,1.0,32.0,14.0
1737,-32.9380435,-60.64777200000001,Manuel Dorrego 256,Manuel Dorrego,32.0,1.0,32.0,14.0
216,-32.938312,-60.6488555,Catamarca 1998,Manuel Dorrego,129.1,1.0,32.0,14.0
3081,-32.93836800402144,-60.64810102463137,Catamarca 1922,Manuel Dorrego,73.6,1.0,32.0,14.0
3136,-32.93831289900347,-60.6478984315978,Manuel Dorrego 282,Manuel Dorrego,61.7,1.0,32.0,14.0
734,-32.93849442809209,-60.64785621566586,Catamarca 1902,Manuel Dorrego,81.5,1.0,32.0,14.0
1480,-32.93867907124634,-60.64685378358373,Catamarca 1834,Italia 282,37.9,1.0,33.0,10.0
22095,-32.93809576412212,-60.64680308425089,Italia,Italia 246,41.7,1.0,33.0,8.0
9415,-32.93843387369736,-60.646985066980896,Catamarca,Salta 1853,55.0,1.0,33.0,5.0
325,-32.9396825,-60.641179,Catamarca 1420,Corrientes 254,56.9,1.0,37.0,10.0
3450,-32.939522244600845,-60.64155520091972,Paraguay 263,Corrientes 254,84.1,1.0,37.0,10.0
1999,-32.94013514918164,-60.63862221434652,Catamarca 1240,Catamarca,37.1,1.0,39.0,16.0
21575,-32.93988454796147,-60.63834881121651,Bartolomé Mitre 264,Entre Ríos,58.7,1.0,39.0,15.0
14769,-32.94036679616228,-60.637525464953,Catamarca 299,Catamarca 1124,41.2,1.0,40.0,9.0
18878,-32.93917036313206,-60.65086337397182,Balcarce 394,Balcarce,34.4,1.0,42.0,12.0
2619,-32.93951707650697,-60.64859428661,Tucumán 1944,Tucumán 1906,39.7,1.0,44.0,15.0
17789,-32.93985849173183,-60.64544268505756,España 372,Tucumán 1754,31.6,1.0,46.0,15.0
12915,-32.939856588523895,-60.641928785921664,Catamarca,Paraguay 309,30.1,1.0,49.0,1.0
5979,-32.940634341360045,-60.64022323156977,Entre Ríos,Tucumán 1340,36.2,1.0,50.0,18.0
7909,-32.94061269135393,-60.64032660597436,Entre Ríos,Tucumán 1350,51.2,1.0,50.0,19.0
1534,-32.94058159396871,-60.64809473984096,Manuel Dorrego 465,Justo José de Urquiza 1872,35.7,1.0,58.0,30.0
3715,-32.940631287921,-60.64415685413011,Tucumán 1601,Justo José de Urquiza 1644,31.8,1.0,60.0,5.0
9844,-32.940998725777035,-60.644360231333074,Presidente Roca 442,Justo José de Urquiza 1644,34.1,1.0,60.0,5.0
13934,-32.941075350649264,-60.6428595149906,Paraguay 412,Justo José de Urquiza,34.5,1.0,61.0,5.0
1476,-32.9411585,-60.64287999999999,Paraguay 432,Justo José de Urquiza,36.1,1.0,61.0,5.0
