ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
10150,1984.0,1.0,2.0,16.0,,-32.93319,-60.649440000000006,Balcarce 8091
10277,1984.0,1.0,2.0,19.0,,-32.933263571428576,-60.649836,Güemes 2146
12964,1993.0,1.0,2.0,18.0,,-32.933091222222224,-60.64965911111111,Güemes 2132
13890,1996.0,1.0,2.0,19.0,,-32.933263571428576,-60.649836,Güemes 2146
14470,1998.0,1.0,2.0,21.0,,-32.933144600000006,-60.6500264,Güemes 2168
14624,1999.0,1.0,2.0,5.0,,-32.93265041666667,-60.64983875,Avenida Bernardino Rivadavia 2161
16011,2005.0,1.0,2.0,4.0,,-32.93244271428571,-60.64991085714285,Avenida Bernardino Rivadavia 2171
16758,2008.0,1.0,2.0,15.0,,-32.933104,-60.64948116666667,Balcarce 8091
17294,2009.0,1.0,2.0,3.0,,-32.9323348,-60.64996759999999,Avenida Bernardino Rivadavia 2179
17347,2009.0,1.0,2.0,17.0,,-32.93326499999999,-60.64959328571429,Güemes 2122
18341,2012.0,1.0,2.0,20.0,,-32.93305109090909,-60.64988818181817,Güemes 2156
18376,2012.0,1.0,2.0,14.0,,-32.9330198,-60.64945339999999,Balcarce 101 bis
18741,2013.0,1.0,2.0,1.0,,-32.93226283333333,-60.650149,Bulevar Nicasio Oroño 199 bis
18850,2013.0,1.0,2.0,12.0,,-32.9328276,-60.6495303,Güemes 2136
19149,2014.0,1.0,2.0,22.0,,-32.93309214285714,-60.65016128571428,Güemes 2182
19709,2016.0,1.0,2.0,7.0,,-32.93264763636364,-60.649544090909096,Avenida Bernardino Rivadavia 2131
19939,2016.0,1.0,2.0,6.0,,-32.9325802,-60.649636,Avenida Bernardino Rivadavia 2141
224,1985.0,1.0,2.0,24.0,,-32.933154200000004,-60.6503914,Bulevar Nicasio Oroño 101 bis
3287,1969.0,1.0,2.0,28.0,,-32.93277822222222,-60.65000744444444,Bulevar Nicasio Oroño 11
6852,1977.0,1.0,2.0,32.0,,-32.93240642857143,-60.65011028571429,Bulevar Nicasio Oroño 199 bis
812,1959.0,1.0,2.0,29.0,,-32.932697999999995,-60.650114,Bulevar Nicasio Oroño 199 bis
10958,1986.0,1.0,3.0,23.0,,-32.933441,-60.6487446,Güemes 2066
12991,1993.0,1.0,3.0,20.0,,-32.933536200000006,-60.64829920000001,Güemes 2018
13511,1995.0,1.0,3.0,28.0,,-32.933122222222224,-60.64887,Balcarce 6965
14283,1998.0,1.0,3.0,18.0,,-32.93354785714286,-60.64820271428572,Güemes 2010
16348,2006.0,1.0,3.0,22.0,,-32.93337366666666,-60.64859299999999,Güemes 2052
