zona_id,zona_label,usd_m2_vpp_scraping,n_props,estado_v41,usd_m2_zonaprop,usd_m2_properati,usd_m2_cocir_sept25,usd_m2_ri_cierre_ref,promedio_asking_externas,desvio_pct,flag
martin_centro_residencial,Martin / Centro Residencial,1742.0,338.0,auto_aprobable,1725.0,,1933.0,1450.0,1829.0,-4.8,OK (<10%)
martin_plaza_lopez,Martin / Plaza Lopez,1757.0,313.0,auto_aprobable,1725.0,,1933.0,1450.0,1829.0,-3.9,OK (<10%)
pichincha_centro_aristobulo,Pichincha Centro,1940.0,294.0,auto_aprobable,1873.0,1350.0,1933.0,1450.0,1719.0,12.9,MOD (10-20%)
pichincha_norte_brown,Pichincha Norte,2083.0,269.0,revision_manual,1873.0,1600.0,1933.0,1450.0,1802.0,15.6,MOD (10-20%)
pellegrini_oroño,Pellegrini / Bv. Orono,,,,1873.0,,1933.0,1450.0,1903.0,,N/D
pellegrini_paraguay,Pellegrini / Paraguay,1549.0,321.0,auto_aprobable,1725.0,,1933.0,1450.0,1829.0,-15.3,MOD (10-20%)
pellegrini_libertad,Pellegrini / Libertad,1700.0,386.0,auto_aprobable,1725.0,,1933.0,1450.0,1829.0,-7.1,OK (<10%)
peatonal_cordoba_centro,Peatonal Cordoba / Centro,1420.0,203.0,auto_aprobable,1725.0,1150.0,1933.0,1450.0,1603.0,-11.4,MOD (10-20%)
centro_mendoza_maipu,Centro / Mendoza-Maipu,1574.0,237.0,auto_aprobable,1725.0,1150.0,1933.0,1450.0,1603.0,-1.8,OK (<10%)
lourdes_parque_independencia,Lourdes / Parque Independencia,1833.0,370.0,revision_manual,1873.0,,1933.0,1450.0,1903.0,-3.7,OK (<10%)
lourdes_core_santiago,Lourdes / Santiago,1727.0,201.0,auto_aprobable,1873.0,,1933.0,1450.0,1903.0,-9.2,OK (<10%)
macrocentro_salta_lagos,Macrocentro / Salta-Lagos,1744.0,274.0,auto_aprobable,1873.0,,1933.0,1450.0,1903.0,-8.4,OK (<10%)
echesortu_plaza_costa,Echesortu / Plaza Costa,1035.0,84.0,revision_manual,1725.0,,1933.0,1450.0,1829.0,-43.4,MUY ALTO (>35%)
echesortu_mendoza_avellaneda,Echesortu / Mendoza-Avellaneda,823.0,66.0,revision_manual,1725.0,,1933.0,1450.0,1829.0,-55.0,MUY ALTO (>35%)
abasto_corazon_residencial,Abasto / Corazon Residencial,1668.0,143.0,revision_manual,1873.0,,1933.0,1450.0,1903.0,-12.3,MOD (10-20%)
sexta_pellegrini_sur,Sexta / Pellegrini Sur,1585.0,253.0,auto_aprobable,1725.0,,1933.0,1450.0,1829.0,-13.3,MOD (10-20%)
sexta_unr_cur,Sexta / UNR-CUR,1173.0,164.0,auto_aprobable,1725.0,,1933.0,1450.0,1829.0,-35.9,MUY ALTO (>35%)
zona_oeste_godoy,Zona Oeste / Godoy,627.0,36.0,revision_manual,,,,,,,N/D
zona_oeste_felipe_more,Zona Oeste / Felipe More,750.0,57.0,revision_manual,,,,,,,N/D
zona_sur_tablada,Zona Sur / Tablada,658.0,42.0,revision_manual,,,,,,,N/D
zona_sur_hospitales,Zona Sur / Hospitales,725.0,83.0,revision_manual,,,,,,,N/D
fisherton_cordoba_oeste,Fisherton / Cordoba Oeste,1425.0,69.0,revision_manual,1725.0,,,,1725.0,-17.4,MOD (10-20%)
