macrozona,edad_meses,ct_actual_tabla,ct_actual_con_factor,ct_historico_mediana,ct_rolling_12m_mediana,dif_historico_vs_tabla_pct,dif_rolling_vs_tabla_pct,n_pares
centro_premium,3,1.011,1.0123,0.9844,0.9258,-2.64,-8.42,47
centro_premium,6,1.033,1.037,0.9949,0.8516,-3.69,-17.56,47
centro_premium,9,1.069,1.0773,0.9902,0.8067,-7.37,-24.53,44
centro_premium,12,1.105,1.1176,0.9929,0.8629,-10.14,-21.91,42
centro_premium,15,1.156,1.1747,0.9656,0.9043,-16.47,-21.77,40
centro_premium,18,1.207,1.2318,0.9824,0.8899,-18.61,-26.27,37
centro_premium,24,1.235,1.2632,0.9606,0.9072,-22.22,-26.54,31
centro_premium,30,1.267,1.299,1.0004,0.8589,-21.04,-32.21,25
centro_premium,36,1.254,1.2845,0.9728,0.8818,-22.42,-29.68,19
centro_premium,42,1.203,1.2274,0.9573,0.8691,-20.43,-27.76,13
centro_premium,48,1.173,1.1938,1.0477,1.0257,-10.69,-12.56,8
macrocentro,3,1.011,1.0123,0.9619,0.9494,-4.85,-6.09,45
macrocentro,6,1.033,1.037,1.0002,0.9763,-3.18,-5.48,43
macrocentro,9,1.069,1.0773,0.9578,0.9307,-10.4,-12.94,42
macrocentro,12,1.105,1.1176,0.9273,0.9345,-16.08,-15.43,41
macrocentro,15,1.156,1.1747,0.8884,0.8589,-23.15,-25.7,37
macrocentro,18,1.207,1.2318,0.9247,0.7996,-23.39,-33.76,35
macrocentro,24,1.235,1.2632,0.9859,0.785,-20.17,-36.44,29
macrocentro,30,1.267,1.299,1.0577,1.0577,-16.52,-16.52,23
macrocentro,36,1.254,1.2845,0.9808,0.9981,-21.78,-20.4,17
macrocentro,42,1.203,1.2274,0.9589,0.9983,-20.29,-17.02,12
macrocentro,48,1.173,1.1938,0.9377,0.9348,-20.06,-20.31,6
norte,3,1.011,1.0123,0.882,0.8383,-12.75,-17.08,40
norte,6,1.033,1.037,0.9648,0.8824,-6.6,-14.58,39
norte,9,1.069,1.0773,0.9038,0.7811,-15.45,-26.93,36
norte,12,1.105,1.1176,0.9637,0.8538,-12.79,-22.74,35
norte,15,1.156,1.1747,0.9601,0.8615,-16.95,-25.48,32
norte,18,1.207,1.2318,0.9571,0.7786,-20.71,-35.49,30
norte,24,1.235,1.2632,0.8562,0.7252,-30.67,-41.28,24
norte,30,1.267,1.299,0.9154,0.7719,-27.75,-39.08,18
norte,36,1.254,1.2845,0.8378,0.8136,-33.19,-35.12,13
norte,42,1.203,1.2274,0.7843,0.7606,-34.8,-36.78,9
norte,48,1.173,1.1938,0.9058,0.7544,-22.78,-35.68,4
oeste,3,1.011,1.0123,1.0113,1.0559,0.03,4.44,24
oeste,6,1.033,1.037,1.011,1.011,-2.13,-2.13,23
oeste,9,1.069,1.0773,0.9684,1.0104,-9.41,-5.48,20
oeste,12,1.105,1.1176,0.9508,1.1003,-13.95,-0.43,18
oeste,15,1.156,1.1747,1.0142,1.0551,-12.27,-8.73,15
oeste,18,1.207,1.2318,0.7258,0.7714,-39.87,-36.09,13
oeste,24,1.235,1.2632,0.5337,0.6312,-56.78,-48.89,7
oeste,30,1.267,1.299,0.7234,0.5454,-42.9,-56.95,4
oeste,36,1.254,1.2845,0.5243,0.5219,-58.19,-58.38,4
oeste,42,1.203,1.2274,0.7376,1.6508,-38.69,37.23,3
oeste,48,1.173,1.1938,0.7906,0.6837,-32.6,-41.71,2
sur_default,3,1.011,1.0123,0.9902,0.9281,-2.06,-8.2,16
sur_default,6,1.033,1.037,0.9427,0.9274,-8.75,-10.23,14
sur_default,9,1.069,1.0773,0.9334,0.9525,-12.68,-10.89,12
sur_default,12,1.105,1.1176,0.9598,1.0038,-13.14,-9.16,9
sur_default,15,1.156,1.1747,0.8636,0.8636,-25.29,-25.29,9
sur_default,18,1.207,1.2318,0.8842,0.9771,-26.75,-19.05,4
sur_default,24,1.235,1.2632,0.8155,0.8155,-33.96,-33.96,5
sur_default,30,1.267,1.299,0.9378,0.8895,-25.98,-29.79,3
sur_default,36,1.254,1.2845,1.0944,1.0944,-12.73,-12.73,3
sur_default,42,1.203,1.2274,0.991,1.0484,-17.62,-12.85,4
sur_default,48,1.173,1.1938,1.0352,1.0371,-11.74,-11.59,4
