zona,m2,dormitorios,valor_m2,vm2_expected,ratio,anom_type,lat,lon
Otro,422.9,4,3358.0,3185.0,1.054290168669092,BORDERLINE,-32.93757,-60.64047
Otro,207.0,3,3348.0,2749.0,1.2179794036006744,BORDERLINE,-32.87357312500001,-60.699416875000004
Otro,80.0,4,400.0,495.0,0.808826348537533,BORDERLINE,-32.99018,-60.622112
Otro,571.0,5,525.0,779.0,0.6745172935181502,UNDERPRICED,-32.948438599999996,-60.643238399999994
Otro,75.0,1,3000.0,1735.0,1.7295804094503606,OVERPRICED,-32.87357312500001,-60.699416875000004
Otro,365.0,8,1890.0,1680.0,1.1250624783479992,BORDERLINE,-32.948116,-60.652905
Otro,532.0,7,902.0,1015.0,0.8886042920405169,BORDERLINE,-32.92286125,-60.740692499999994
Otro,400.0,4,2100.0,1819.0,1.1543420874592685,BORDERLINE,-32.91967,-60.76503
Otro,750.0,5,1093.0,868.0,1.2593034980389337,BORDERLINE,-32.935852,-60.73413
Otro,403.0,4,596.0,817.0,0.7287258583396281,BORDERLINE,-32.926952,-60.75926
Otro,650.0,4,431.0,576.0,0.7477424727786072,BORDERLINE,-32.920155,-60.73736
Otro,376.0,4,2168.0,2070.0,1.0469731462070186,BORDERLINE,-32.92177,-60.77066
Otro,480.0,4,1583.0,1551.0,1.0211081442911862,BORDERLINE,-32.92281,-60.768677
Otro,320.0,4,2969.0,2383.0,1.2458358217547658,BORDERLINE,-32.923042,-60.76089
Otro,480.0,3,438.0,567.0,0.7715726027587919,BORDERLINE,-32.919994,-60.752098
Otro,648.0,8,1065.0,1191.0,0.8943421762176601,BORDERLINE,-32.948116,-60.652905
Otro,1200.0,4,633.0,707.0,0.8960636710471681,BORDERLINE,-32.92177,-60.77066
Otro,500.0,5,900.0,1070.0,0.8409150912477256,BORDERLINE,-32.92212883333334,-60.740839666666666
Otro,336.0,8,592.0,615.0,0.963277659259543,BORDERLINE,-32.949322333333335,-60.711931166666666
Otro,2438.0,3,779.0,810.0,0.9626078159185488,BORDERLINE,-32.89921,-60.684875
Otro,550.0,7,1455.0,1153.0,1.2614659430636757,BORDERLINE,-32.9319458,-60.734509
Otro,1626.0,6,603.0,824.0,0.7316488428137621,BORDERLINE,-32.947265200000004,-60.664612399999996
Otro,459.0,4,1416.0,1331.0,1.0641397868276992,BORDERLINE,-32.906444,-60.76303839999999
Otro,500.0,4,1100.0,1082.0,1.0163512940406088,BORDERLINE,-32.925316,-60.74558
Otro,378.0,4,926.0,1190.0,0.778254559675241,BORDERLINE,-32.917263,-60.76481
Otro,735.0,6,1156.0,980.0,1.1796066880642018,BORDERLINE,-32.947265200000004,-60.664612399999996
Otro,403.0,4,596.0,817.0,0.7287258583396281,BORDERLINE,-32.926952,-60.75926
Otro,361.0,4,2493.0,2307.0,1.0805275199681468,BORDERLINE,-32.923042,-60.76089
Otro,49.0,1,735.0,797.0,0.9214380619856235,BORDERLINE,-32.874268,-60.736996
Otro,450.0,8,442.0,482.0,0.9168233452134493,BORDERLINE,-32.9182612,-60.737218
Otro,550.0,4,727.0,810.0,0.8976512832966926,BORDERLINE,-32.90179,-60.690388
Otro,500.0,3,480.0,756.0,0.6352679800713367,UNDERPRICED,-32.921017,-60.741333
Otro,175.0,5,1600.0,1134.0,1.4108748172221661,OVERPRICED,-32.881589857142856,-60.69571542857143
Otro,500.0,5,1300.0,1070.0,1.2146551318022702,BORDERLINE,-32.92212883333334,-60.740839666666666
Pellegrini,350.0,5,1743.0,1843.0,0.9456246431903587,BORDERLINE,-32.93203,-60.75685
Otro,480.0,4,479.0,519.0,0.9231158385996934,BORDERLINE,-33.000053,-60.650635
Otro,624.0,4,513.0,507.0,1.0122836229846,BORDERLINE,-32.92761816666666,-60.681745
Otro,850.0,3,424.0,529.0,0.8001267001180412,BORDERLINE,-32.940876,-60.76468
Otro,496.0,4,605.0,795.0,0.7608279211000646,BORDERLINE,-32.925755249999995,-60.727199
Otro,700.0,5,557.0,642.0,0.8678191753481108,BORDERLINE,-32.929867,-60.727066
Otro,222.0,5,450.0,616.0,0.7307848261872808,BORDERLINE,-32.88878000000001,-60.72445280000001
Otro,450.0,4,489.0,656.0,0.7447407629053774,BORDERLINE,-32.89474366666666,-60.6958535
Otro,876.11,15,856.0,762.0,1.1234558208272025,BORDERLINE,-32.94319,-60.63654
Otro,412.0,4,1432.0,1489.0,0.9614986478179527,BORDERLINE,-32.897263,-60.74744
Otro,674.0,5,2077.0,1887.0,1.100681139618988,BORDERLINE,-32.93203,-60.75685
Otro,624.0,5,1763.0,1512.0,1.165635089529848,BORDERLINE,-32.94927,-60.656307
Otro,540.0,3,1093.0,995.0,1.0982561598947203,BORDERLINE,-32.90918,-60.76006
Otro,400.0,5,3250.0,2763.0,1.1762949356924335,BORDERLINE,-32.942097,-60.64261
Otro,330.0,3,2576.0,2114.0,1.218196597911411,BORDERLINE,-32.91873,-60.764183
Otro,400.0,4,2100.0,2120.0,0.9905447417087179,BORDERLINE,-32.92014,-60.770287
Otro,859.0,3,1048.0,938.0,1.1164268296119453,BORDERLINE,-32.9600862,-60.633652000000005
Otro,361.0,4,2493.0,2232.0,1.116855696486752,BORDERLINE,-32.920124,-60.770855
Otro,384.0,5,518.0,968.0,0.5352876051834553,UNDERPRICED,-32.924248,-60.737373
Otro,675.0,3,667.0,671.0,0.993805615986666,BORDERLINE,-32.895065,-60.68647
Otro,620.0,4,516.0,532.0,0.9706902731071868,BORDERLINE,-32.999935,-60.650944
Otro,1200.0,4,625.0,779.0,0.8020340973838642,BORDERLINE,-32.919483,-60.768322
Otro,379.17,5,1187.0,1077.0,1.1020162842736625,BORDERLINE,-32.891415,-60.687637
Otro,250.0,5,520.0,841.0,0.6185722582650273,UNDERPRICED,-32.881054,-60.68705
Otro,800.0,4,549.0,569.0,0.9636326627345713,BORDERLINE,-32.91788,-60.774143
Otro,470.0,4,404.0,587.0,0.6887703942057489,UNDERPRICED,-32.94918,-60.63133
Otro,285.0,2,421.0,526.0,0.8010317361153048,BORDERLINE,-33.00644619999999,-60.63558820000001
Otro,579.0,6,432.0,551.0,0.7832917879149829,BORDERLINE,-32.962406,-60.634842
Otro,790.0,3,430.0,574.0,0.7492240895355116,BORDERLINE,-32.89925614285714,-60.69154928571429
Otro,258.0,6,601.0,608.0,0.9880280564896602,BORDERLINE,-33.0030546,-60.6566474
Otro,1500.0,1,500.0,461.0,1.084255874118972,BORDERLINE,-32.91436,-60.757183
Otro,300.0,6,533.0,589.0,0.9058766584684457,BORDERLINE,-32.965594800000005,-60.71266059999999
Otro,428.0,5,584.0,654.0,0.8928444896303468,BORDERLINE,-32.975445,-60.66493
Otro,800.0,2,400.0,369.0,1.0847938585314247,BORDERLINE,-32.915966,-60.775574
