cluster,n,lat_c,lon_c,vm2_median,vm2_mean,vm2_std,macro_dominante
0,5116,-32.9491,-60.6487,1700,1716,608,centro_premium
1,143,-32.9176,-60.6799,938,1048,458,norte
2,86,-32.9203,-60.7293,1700,1538,446,norte
3,8,-32.9457,-60.6793,1352,1243,505,macrocentro
4,46,-32.9743,-60.6404,870,929,383,macrocentro
5,44,-32.8737,-60.6994,1633,1621,642,norte
6,53,-32.9733,-60.6476,951,1035,450,macrocentro
7,91,-32.9253,-60.7393,1497,1482,414,norte
8,13,-32.9224,-60.7408,1168,1197,265,norte
9,50,-32.9234,-60.6715,1448,1702,883,macrocentro
10,15,-32.8803,-60.6959,1788,1579,343,norte
11,10,-32.9019,-60.685,1553,1552,814,norte
12,16,-32.9149,-60.7616,1982,1813,418,norte
13,28,-32.9083,-60.6823,1433,1323,321,norte
14,41,-32.9275,-60.6643,2531,2429,601,centro_premium
15,11,-32.885,-60.6898,1006,962,210,norte
16,30,-32.9129,-60.6763,2161,2240,890,norte
17,23,-32.9237,-60.6654,2600,2616,839,centro_premium
18,8,-32.8917,-60.6918,1373,1247,342,norte
19,17,-32.916,-60.6734,1925,1557,800,norte
20,76,-32.9337,-60.7385,1498,1546,227,oeste
21,6,-32.9149,-60.7676,1973,1968,573,norte
22,21,-32.926,-60.6749,1734,1543,538,macrocentro
23,39,-32.9261,-60.7493,1524,1595,454,norte
24,6,-32.9804,-60.6479,767,748,216,sur_default
25,40,-32.9503,-60.6797,749,884,465,macrocentro
26,12,-32.9148,-60.7549,1612,1583,363,norte
27,40,-32.9229,-60.7542,1372,1464,433,norte
28,21,-32.921,-60.7413,1498,1406,464,norte
29,8,-32.8732,-60.6954,864,953,320,norte
30,7,-32.8794,-60.7004,1383,1463,1000,norte
31,14,-32.9696,-60.6656,707,776,298,macrocentro
32,7,-32.9439,-60.6755,1226,1141,301,macrocentro
33,20,-32.9372,-60.6975,726,723,208,oeste
34,13,-32.9692,-60.6607,931,933,344,macrocentro
35,7,-32.8769,-60.6992,552,745,489,norte
36,8,-32.9077,-60.6872,848,1058,461,norte
37,5,-32.9987,-60.6492,491,592,178,sur_default
38,23,-32.9307,-60.7604,1364,1312,293,oeste
39,5,-32.9546,-60.6797,778,763,135,macrocentro
40,18,-32.9118,-60.6887,533,638,242,norte
41,21,-32.9584,-60.6692,848,891,344,centro_premium
42,5,-32.8772,-60.6959,1165,1128,277,norte
43,20,-32.9675,-60.6277,1007,997,248,macrocentro
44,5,-32.9399,-60.7346,719,766,145,oeste
45,6,-32.9971,-60.6636,685,683,212,sur_default
46,5,-32.9927,-60.6639,500,560,148,sur_default
47,12,-32.9841,-60.6542,645,628,118,sur_default
48,5,-32.8879,-60.7118,498,515,86,norte
49,11,-32.9652,-60.6639,821,911,325,macrocentro
50,11,-32.9328,-60.6859,1308,1424,527,macrocentro
51,34,-32.9773,-60.6494,739,780,257,sur_default
