lat,lon,vm2_2025,vm2_1970,pendiente_pct,macrozona
-33.03,-60.72,868.0,790.0,0.17,norte
-33.03,-60.7167,868.0,790.0,0.17,norte
-33.03,-60.7133,868.0,790.0,0.17,norte
-33.03,-60.71,868.0,790.0,0.17,norte
-33.03,-60.7067,868.0,790.0,0.17,norte
-33.03,-60.7033,868.0,790.0,0.17,norte
-33.03,-60.7,868.0,790.0,0.17,norte
-33.03,-60.6967,868.0,790.0,0.17,norte
-33.03,-60.6933,868.0,790.0,0.17,norte
-33.03,-60.69,868.0,790.0,0.17,norte
-33.03,-60.6867,868.0,790.0,0.17,norte
-33.03,-60.6833,868.0,790.0,0.17,norte
-33.03,-60.68,868.0,790.0,0.17,norte
-33.03,-60.6767,868.0,790.0,0.17,norte
-33.03,-60.6733,887.0,803.0,0.179,norte
-33.03,-60.67,887.0,803.0,0.179,norte
-33.03,-60.6667,882.0,793.0,0.193,norte
-33.03,-60.6633,877.0,779.0,0.216,norte
-33.03,-60.66,910.0,793.0,0.25,norte
-33.03,-60.6567,907.0,794.0,0.242,norte
-33.03,-60.6533,929.0,809.0,0.251,norte
-33.03,-60.65,933.0,841.0,0.19,norte
-33.03,-60.6467,955.0,861.0,0.188,norte
-33.03,-60.6433,954.0,889.0,0.129,norte
-33.03,-60.64,857.0,786.0,0.158,norte
-33.03,-60.6367,861.0,785.0,0.168,norte
-33.03,-60.6333,846.0,791.0,0.124,norte
-33.03,-60.63,770.0,732.0,0.092,norte
-33.03,-60.6267,776.0,743.0,0.079,norte
-33.03,-60.6233,804.0,789.0,0.036,norte
-33.03,-60.62,804.0,789.0,0.036,norte
-33.03,-60.6167,804.0,789.0,0.036,norte
-33.03,-60.6133,804.0,789.0,0.036,norte
-33.03,-60.61,804.0,789.0,0.036,norte
-33.03,-60.6067,804.0,789.0,0.036,norte
-33.03,-60.6033,804.0,789.0,0.036,norte
-33.03,-60.6,804.0,789.0,0.036,norte
-33.03,-60.5967,804.0,789.0,0.036,norte
-33.03,-60.5933,804.0,789.0,0.036,norte
-33.03,-60.59,804.0,789.0,0.036,norte
-33.0267,-60.72,868.0,790.0,0.17,norte
-33.0267,-60.7167,868.0,790.0,0.17,norte
-33.0267,-60.7133,868.0,790.0,0.17,norte
-33.0267,-60.71,868.0,790.0,0.17,norte
-33.0267,-60.7067,868.0,790.0,0.17,norte
-33.0267,-60.7033,868.0,790.0,0.17,norte
-33.0267,-60.7,868.0,790.0,0.17,norte
-33.0267,-60.6967,868.0,790.0,0.17,norte
-33.0267,-60.6933,868.0,790.0,0.17,norte
-33.0267,-60.69,868.0,790.0,0.17,norte
-33.0267,-60.6867,868.0,790.0,0.17,norte
-33.0267,-60.6833,868.0,790.0,0.17,norte
-33.0267,-60.68,868.0,790.0,0.17,norte
-33.0267,-60.6767,868.0,790.0,0.17,norte
-33.0267,-60.6733,887.0,803.0,0.179,norte
-33.0267,-60.67,887.0,803.0,0.179,norte
-33.0267,-60.6667,882.0,793.0,0.193,norte
-33.0267,-60.6633,877.0,779.0,0.216,norte
-33.0267,-60.66,910.0,793.0,0.25,norte
-33.0267,-60.6567,907.0,794.0,0.242,norte
-33.0267,-60.6533,929.0,809.0,0.251,norte
-33.0267,-60.65,933.0,841.0,0.19,norte
-33.0267,-60.6467,955.0,861.0,0.188,norte
-33.0267,-60.6433,954.0,889.0,0.129,norte
-33.0267,-60.64,857.0,786.0,0.158,norte
-33.0267,-60.6367,861.0,785.0,0.168,norte
-33.0267,-60.6333,846.0,791.0,0.124,norte
-33.0267,-60.63,770.0,732.0,0.092,norte
-33.0267,-60.6267,776.0,743.0,0.079,norte
-33.0267,-60.6233,804.0,789.0,0.036,norte
-33.0267,-60.62,804.0,789.0,0.036,norte
-33.0267,-60.6167,804.0,789.0,0.036,norte
-33.0267,-60.6133,804.0,789.0,0.036,norte
-33.0267,-60.61,804.0,789.0,0.036,norte
-33.0267,-60.6067,804.0,789.0,0.036,norte
-33.0267,-60.6033,804.0,789.0,0.036,norte
-33.0267,-60.6,804.0,789.0,0.036,norte
-33.0267,-60.5967,804.0,789.0,0.036,norte
-33.0267,-60.5933,804.0,789.0,0.036,norte
-33.0267,-60.59,804.0,789.0,0.036,norte
-33.0233,-60.72,868.0,790.0,0.17,norte
-33.0233,-60.7167,868.0,790.0,0.17,norte
-33.0233,-60.7133,868.0,790.0,0.17,norte
-33.0233,-60.71,868.0,790.0,0.17,norte
-33.0233,-60.7067,868.0,790.0,0.17,norte
-33.0233,-60.7033,868.0,790.0,0.17,norte
-33.0233,-60.7,868.0,790.0,0.17,norte
-33.0233,-60.6967,868.0,790.0,0.17,norte
-33.0233,-60.6933,868.0,790.0,0.17,norte
-33.0233,-60.69,868.0,790.0,0.17,norte
-33.0233,-60.6867,868.0,790.0,0.17,norte
-33.0233,-60.6833,868.0,790.0,0.17,norte
-33.0233,-60.68,868.0,790.0,0.17,norte
-33.0233,-60.6767,868.0,790.0,0.17,norte
-33.0233,-60.6733,887.0,803.0,0.179,norte
-33.0233,-60.67,887.0,803.0,0.179,norte
-33.0233,-60.6667,882.0,793.0,0.193,norte
-33.0233,-60.6633,877.0,779.0,0.216,norte
-33.0233,-60.66,910.0,793.0,0.25,norte
-33.0233,-60.6567,907.0,794.0,0.242,norte
-33.0233,-60.6533,929.0,809.0,0.251,norte
-33.0233,-60.65,933.0,841.0,0.19,norte
-33.0233,-60.6467,955.0,861.0,0.188,norte
-33.0233,-60.6433,954.0,889.0,0.129,norte
-33.0233,-60.64,857.0,786.0,0.158,norte
-33.0233,-60.6367,861.0,785.0,0.168,norte
-33.0233,-60.6333,846.0,791.0,0.124,norte
-33.0233,-60.63,770.0,732.0,0.092,norte
-33.0233,-60.6267,776.0,743.0,0.079,norte
-33.0233,-60.6233,804.0,789.0,0.036,norte
-33.0233,-60.62,804.0,789.0,0.036,norte
-33.0233,-60.6167,804.0,789.0,0.036,norte
-33.0233,-60.6133,804.0,789.0,0.036,norte
-33.0233,-60.61,804.0,789.0,0.036,norte
-33.0233,-60.6067,804.0,789.0,0.036,norte
-33.0233,-60.6033,804.0,789.0,0.036,norte
-33.0233,-60.6,804.0,789.0,0.036,norte
-33.0233,-60.5967,804.0,789.0,0.036,norte
-33.0233,-60.5933,804.0,789.0,0.036,norte
-33.0233,-60.59,804.0,789.0,0.036,norte
-33.02,-60.72,868.0,790.0,0.17,norte
-33.02,-60.7167,868.0,790.0,0.17,norte
-33.02,-60.7133,868.0,790.0,0.17,norte
-33.02,-60.71,868.0,790.0,0.17,norte
-33.02,-60.7067,868.0,790.0,0.17,norte
-33.02,-60.7033,868.0,790.0,0.17,norte
-33.02,-60.7,868.0,790.0,0.17,norte
-33.02,-60.6967,868.0,790.0,0.17,norte
-33.02,-60.6933,868.0,790.0,0.17,norte
-33.02,-60.69,868.0,790.0,0.17,norte
-33.02,-60.6867,868.0,790.0,0.17,norte
-33.02,-60.6833,868.0,790.0,0.17,norte
-33.02,-60.68,868.0,790.0,0.17,norte
-33.02,-60.6767,868.0,790.0,0.17,norte
-33.02,-60.6733,887.0,803.0,0.179,norte
-33.02,-60.67,887.0,803.0,0.179,norte
-33.02,-60.6667,882.0,793.0,0.193,norte
-33.02,-60.6633,877.0,779.0,0.216,norte
-33.02,-60.66,910.0,793.0,0.25,norte
-33.02,-60.6567,907.0,794.0,0.242,norte
-33.02,-60.6533,929.0,809.0,0.251,norte
-33.02,-60.65,933.0,841.0,0.19,norte
-33.02,-60.6467,955.0,861.0,0.188,norte
-33.02,-60.6433,954.0,889.0,0.129,norte
-33.02,-60.64,857.0,786.0,0.158,norte
-33.02,-60.6367,861.0,785.0,0.168,norte
-33.02,-60.6333,846.0,791.0,0.124,norte
-33.02,-60.63,770.0,732.0,0.092,norte
-33.02,-60.6267,776.0,743.0,0.079,norte
-33.02,-60.6233,804.0,789.0,0.036,norte
-33.02,-60.62,804.0,789.0,0.036,norte
-33.02,-60.6167,804.0,789.0,0.036,norte
-33.02,-60.6133,804.0,789.0,0.036,norte
-33.02,-60.61,804.0,789.0,0.036,norte
-33.02,-60.6067,804.0,789.0,0.036,norte
-33.02,-60.6033,804.0,789.0,0.036,norte
-33.02,-60.6,804.0,789.0,0.036,norte
-33.02,-60.5967,804.0,789.0,0.036,norte
-33.02,-60.5933,804.0,789.0,0.036,norte
-33.02,-60.59,804.0,789.0,0.036,norte
-33.0167,-60.72,868.0,790.0,0.17,norte
-33.0167,-60.7167,868.0,790.0,0.17,norte
-33.0167,-60.7133,868.0,790.0,0.17,norte
-33.0167,-60.71,868.0,790.0,0.17,norte
-33.0167,-60.7067,868.0,790.0,0.17,norte
-33.0167,-60.7033,868.0,790.0,0.17,norte
-33.0167,-60.7,868.0,790.0,0.17,norte
-33.0167,-60.6967,868.0,790.0,0.17,norte
-33.0167,-60.6933,868.0,790.0,0.17,norte
-33.0167,-60.69,868.0,790.0,0.17,norte
-33.0167,-60.6867,868.0,790.0,0.17,norte
-33.0167,-60.6833,868.0,790.0,0.17,norte
-33.0167,-60.68,868.0,790.0,0.17,norte
-33.0167,-60.6767,868.0,790.0,0.17,norte
-33.0167,-60.6733,887.0,803.0,0.179,norte
-33.0167,-60.67,887.0,803.0,0.179,norte
-33.0167,-60.6667,882.0,793.0,0.193,norte
-33.0167,-60.6633,877.0,779.0,0.216,norte
-33.0167,-60.66,910.0,793.0,0.25,norte
-33.0167,-60.6567,907.0,794.0,0.242,norte
-33.0167,-60.6533,929.0,809.0,0.251,norte
-33.0167,-60.65,933.0,841.0,0.19,norte
-33.0167,-60.6467,955.0,861.0,0.188,norte
-33.0167,-60.6433,954.0,889.0,0.129,norte
-33.0167,-60.64,857.0,786.0,0.158,norte
-33.0167,-60.6367,861.0,785.0,0.168,norte
-33.0167,-60.6333,846.0,791.0,0.124,norte
-33.0167,-60.63,770.0,732.0,0.092,norte
-33.0167,-60.6267,776.0,743.0,0.079,norte
-33.0167,-60.6233,804.0,789.0,0.036,norte
-33.0167,-60.62,804.0,789.0,0.036,norte
-33.0167,-60.6167,804.0,789.0,0.036,norte
-33.0167,-60.6133,804.0,789.0,0.036,norte
-33.0167,-60.61,804.0,789.0,0.036,norte
-33.0167,-60.6067,804.0,789.0,0.036,norte
-33.0167,-60.6033,804.0,789.0,0.036,norte
-33.0167,-60.6,804.0,789.0,0.036,norte
-33.0167,-60.5967,804.0,789.0,0.036,norte
-33.0167,-60.5933,804.0,789.0,0.036,norte
-33.0167,-60.59,804.0,789.0,0.036,norte
-33.0133,-60.72,868.0,790.0,0.17,norte
-33.0133,-60.7167,868.0,790.0,0.17,norte
-33.0133,-60.7133,868.0,790.0,0.17,norte
-33.0133,-60.71,868.0,790.0,0.17,norte
-33.0133,-60.7067,868.0,790.0,0.17,norte
-33.0133,-60.7033,868.0,790.0,0.17,norte
-33.0133,-60.7,868.0,790.0,0.17,norte
-33.0133,-60.6967,868.0,790.0,0.17,norte
-33.0133,-60.6933,868.0,790.0,0.17,norte
-33.0133,-60.69,868.0,790.0,0.17,norte
-33.0133,-60.6867,868.0,790.0,0.17,norte
-33.0133,-60.6833,868.0,790.0,0.17,norte
-33.0133,-60.68,868.0,790.0,0.17,norte
-33.0133,-60.6767,868.0,790.0,0.17,norte
-33.0133,-60.6733,887.0,803.0,0.179,norte
-33.0133,-60.67,887.0,803.0,0.179,norte
-33.0133,-60.6667,882.0,793.0,0.193,norte
-33.0133,-60.6633,877.0,779.0,0.216,norte
-33.0133,-60.66,910.0,793.0,0.25,norte
-33.0133,-60.6567,907.0,794.0,0.242,norte
-33.0133,-60.6533,929.0,809.0,0.251,norte
-33.0133,-60.65,933.0,841.0,0.19,norte
-33.0133,-60.6467,955.0,861.0,0.188,norte
-33.0133,-60.6433,954.0,889.0,0.129,norte
-33.0133,-60.64,857.0,786.0,0.158,norte
-33.0133,-60.6367,861.0,785.0,0.168,norte
-33.0133,-60.6333,846.0,791.0,0.124,norte
-33.0133,-60.63,770.0,732.0,0.092,norte
-33.0133,-60.6267,776.0,743.0,0.079,norte
-33.0133,-60.6233,804.0,789.0,0.036,norte
-33.0133,-60.62,804.0,789.0,0.036,norte
-33.0133,-60.6167,804.0,789.0,0.036,norte
-33.0133,-60.6133,804.0,789.0,0.036,norte
-33.0133,-60.61,804.0,789.0,0.036,norte
-33.0133,-60.6067,804.0,789.0,0.036,norte
-33.0133,-60.6033,804.0,789.0,0.036,norte
-33.0133,-60.6,804.0,789.0,0.036,norte
-33.0133,-60.5967,804.0,789.0,0.036,norte
-33.0133,-60.5933,804.0,789.0,0.036,norte
-33.0133,-60.59,804.0,789.0,0.036,norte
-33.01,-60.72,873.0,793.0,0.174,norte
-33.01,-60.7167,873.0,793.0,0.174,norte
-33.01,-60.7133,873.0,793.0,0.174,norte
-33.01,-60.71,873.0,793.0,0.174,norte
-33.01,-60.7067,873.0,793.0,0.174,norte
-33.01,-60.7033,873.0,793.0,0.174,norte
-33.01,-60.7,873.0,793.0,0.174,norte
-33.01,-60.6967,873.0,793.0,0.174,norte
